,,,,,,,
0,0.845070422535211,When was the Battle of Gettysburg?,"""When was Battle of Gettysburg fought?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?date 
WHERE { 
       res:Battle_of_Gettysburg dbo:date ?date .
}","select  ?o    
{
    <http://dbpedia.org/resource/Battle_of_Gettysburg> <http://dbpedia.org/property/date>  ?o .    
}","[(""1863-07-03""^^xsd:date )]","[(""1863-07-03""^^xsd:date )]"
1,0.825,List all the musicals with music by Elton John.,"""List all the musics by Elton John""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        ?uri rdf:type dbo:Musical .
        ?uri dbo:musicBy res:Elton_John .
}","select  ?s    
{
   ?s <http://dbpedia.org/ontology/musicBy>  <http://dbpedia.org/resource/Elton_John> .    
}","[(http://dbpedia.org/resource/Aida_(musical) ), (http://dbpedia.org/resource/The_Lion_King_(musical) ), (http://dbpedia.org/resource/Billy_Elliot_the_Musical ), (http://dbpedia.org/resource/Lestat_(musical) )]","[(http://dbpedia.org/resource/Aida_(musical) ), (http://dbpedia.org/resource/The_Lion_King_(musical) ), (http://dbpedia.org/resource/Billy_Elliot_the_Musical ), (http://dbpedia.org/resource/Lestat_(musical) )]"
2,0.740740740740741,How high is the lighthouse in Colombo?,"""What is the highest Lighthouse in Colombia?""",SELECT DISTINCT ?num WHERE {  <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?num . } ,"SELECT DISTINCT ?subjOfProp WHERE 
{
 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Lighthouse> . ?subjOfProp <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Colombia> . ?subjOfProp <http://dbpedia.org/ontology/height> ?num . 
} ORDER BY DESC(?num) LIMIT 1","[(""29.0""^^xsd:double )]",[]
3,0.759493670886076,Who was the wife of U.S. president Lincoln?,"""Who was the wife of Abraham Lincoln?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:Abraham_Lincoln dbo:spouse ?uri.
}","select  ?o    
{
    <http://dbpedia.org/resource/Abraham_Lincoln> <http://dbpedia.org/ontology/spouse>  ?o .    
}",[(http://dbpedia.org/resource/Mary_Todd_Lincoln )],[(http://dbpedia.org/resource/Mary_Todd_Lincoln )]
4,0.953488372093023,Who is the host of the BBC Wildlife Specials?,"""Who is the host of BBC Wildlife Specials?""",SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?uri . },"select  ?o    
{
    <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter>  ?o .    
}",[(http://dbpedia.org/resource/David_Attenborough )],[(http://dbpedia.org/resource/David_Attenborough )]
5,1,How much did Pulp Fiction cost?,"""How much did Pulp Fiction cost?""",SELECT DISTINCT ?n WHERE {  <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?n . } ,"select  ?o    
{
    <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget>  ?o .    
}","[(""8500000.0""^^http://dbpedia.org/datatype/usDollar )]","[(""8500000.0""^^http://dbpedia.org/datatype/usDollar )]"
6,0,In what city is the Heineken brewery?,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . },,[(http://dbpedia.org/resource/Amsterdam )],[]
7,1,When did Operation Overlord commence?,"""When did Operation Overlord commence?""",SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?d . } ,"select  ?o    
{
    <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date>  ?o .    
}","[(""1944-08-25""^^xsd:date )]","[(""1944-08-25""^^xsd:date )]"
8,0.95,In which city does the Chile Route 68 end?,"""in which city does Chile Route 68 end?""",SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?uri . } ,"select  ?o    
{
    <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd>  ?o .    
}",[(http://dbpedia.org/resource/Valpara%C3%ADso )],[(http://dbpedia.org/resource/Valpara%C3%ADso )]
9,1,Who developed Slack?,"""Who developed Slack?""",SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> . },"select  ?s    
{
   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Slack_(software)> .    
}",[(http://dbpedia.org/resource/Slack_Technologies)],[]
