QALD id,match status,QALD question,QueGG question,TP,FP,FN,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
2,0.740740740740741,How high is the lighthouse in Colombo?,"""What is the highest Lighthouse in Colombia?""",0,1,1,SELECT DISTINCT ?num WHERE {  <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?num . } ,"SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Lighthouse> . ?subjOfProp <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Colombia> . ?subjOfProp <http://dbpedia.org/ontology/height> ?num . 

} ORDER BY DESC(?num) LIMIT 1",0,1,1,0,0,0
6,0,In what city is the Heineken brewery?,,0,1,1,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . },,0,1,1,0,0,0
14,0.981481481481482,How many seats does the home stadium of FC Porto have?,"""How many seat does the home stadium of FC Porto? have?""",0,1,1,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/FC_Porto> <http://dbpedia.org/ontology/ground> ?x . ?x <http://dbpedia.org/ontology/seatingCapacity> ?n . } ,"SELECT DISTINCT ?objOfProp WHERE 

{

    ?subjOfProp <http://dbpedia.org/ontology/seatingCapacity> ?objOfProp .   <http://dbpedia.org/resource/FC_Porto> <http://dbpedia.org/ontology/ground> ?subjOfProp .

}",0,1,1,0,0,0
15,0.923076923076923,Who is the daughter of Robert Kennedy married to?,"""Who was the daughter of  Robert F. Kennedy? married to?""",1,0,0,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?child .  ?child <http://dbpedia.org/ontology/spouse> ?uri . } ,"SELECT DISTINCT ?subjOfProp WHERE 

{

    ?subjOfProp <http://dbpedia.org/ontology/spouse> ?objOfProp .   <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?objOfProp .

}",1,0,0,1,1,1
16,0.88659793814433,Which books by Kerouac were published by Viking Press?,"""which books were published by Viking Press?""",4,457,25,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> .  ?uri <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> .  ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . } ,"select  ?s    

{

   ?s <http://dbpedia.org/ontology/publisher>  <http://dbpedia.org/resource/Viking_Press> .    

}",4,457,25,0.00867679,0.13793103,0.016326532
19,0,Who wrote the book Les Piliers de la terre?,lable is not english,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Pillars_of_the_Earth dbo:author ?uri .
}",,0,1,1,0,0,0
23,0.785714285714286,Who was called Frank The Tank?,"""Who was called  The Tiger?"" (check entity for proper similarities)",0,6,1,"PREFIX dbp: <http://dbpedia.org/property/> 
SELECT DISTINCT ?uri 
WHERE { 
        ?uri dbp:nickname 'Frank The Tank'@en . 
}","select  ?s    

{

   ?s <http://dbpedia.org/property/nickname>  'The Tiger'@en .    

}",0,6,1,0,0,0
24,1,What is the largest country in the world?,"""What is the largest country in the World?""",0,1,1,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/ontology/areaTotal> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,"SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . ?subjOfProp <http://dbpedia.org/ontology/areaTotal> ?num . 

} ORDER BY DESC(?num) LIMIT 1",0,1,1,0,0,0
25,1,Who is the mayor of Paris?,"""Who is the mayor of Paris?""",0,1,1,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor> ?uri . },"select  ?o    

{

    <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/leaderName>  ?o .    

}",0,1,1,0,0,0
26,0.783505154639175,Who is the coach of Ankara's ice hockey team?,"""Who is the coach of Turkish Ice Hockey First League?""",0,1,1,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Ankara> . ?x <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> . ?x <http://dbpedia.org/ontology/coach> ?uri . },"select  ?o    

{

    <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> <http://dbpedia.org/ontology/coach>  ?o .    

}",0,1,1,0,0,0
