"QALD id","match status","QALD question","QueGG question","QALD SPARQL query","QueGG SPARQL query","TP","FP","FN","Precision","Recall","F-Measure"
"0","0.952380952380952","Wann fand die Schlacht von Gettysburg statt?","""Wann fand Schlacht von Gettysburg statt?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?date 
WHERE { 
       res:Battle_of_Gettysburg dbo:date ?date .
}","select  ?o    

{

    <http://dbpedia.org/resource/Battle_of_Gettysburg> <http://dbpedia.org/property/date>  ?o .    

}","1.0","0.0","0.0","1.0","1.0","1.0"
"1","0.813953488372093","Liste alle Musicals mit Musik von Elton John auf.","""Liste alle Musiken von Elton John auf""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        ?uri rdf:type dbo:Musical .
        ?uri dbo:musicBy res:Elton_John .
}","select  ?s    

{

   ?s <http://dbpedia.org/ontology/musicBy>  <http://dbpedia.org/resource/Elton_John> .    

}","4.0","0.0","0.0","1.0","1.0","1.0"
"2","0.0","Wie hoch ist der Leuchtturm in Colombo?","","SELECT DISTINCT ?num WHERE {  <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?num . } ","","0.0","1.0","1.0","0.0","0.0","0.0"
"3","0.784810126582278","Wer war die Frau von US-Präsident Lincoln?","""wer war die Frau von Abraham Lincoln?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:Abraham_Lincoln dbo:spouse ?uri.
}","select  ?o    

{

    <http://dbpedia.org/resource/Abraham_Lincoln> <http://dbpedia.org/ontology/spouse>  ?o .    

}","1.0","0.0","0.0","1.0","1.0","1.0"
"4","0.935064935064935","Wer moderiert die BBC Wildlife Specials?","""wer moderieren BBC Wildlife Specials?""","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?uri . }","select  ?o    

{

    <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter>  ?o .    

}","1.0","0.0","0.0","1.0","1.0","1.0"
"5","0.985507246376812","Wieviel hat Pulp Fiction gekostet?","""Wieviel  hat Pulp Fiction gekostet?""","SELECT DISTINCT ?n WHERE {  <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?n . } ","select  ?o    

{

    <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget>  ?o .    

}","1.0","0.0","0.0","1.0","1.0","1.0"
"6","0.710526315789474","In welcher Stadt ist die Heinekenbrauerei?","""in welcher Stadt ist Cher geboren?""","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . }","select  ?o    

{

    <http://dbpedia.org/resource/Cher> <http://dbpedia.org/ontology/birthPlace>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/City> .    

}","0.0","1.0","1.0","0.0","0.0","0.0"
"7","0.933333333333333","Wann wurde die Operation Overlord durchgeführt?","""Wann wurde Operation Overlord durchgef�hrt?""","SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?d . } ","select  ?o    

{

    <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date>  ?o .    

}","1.0","0.0","0.0","1.0","1.0","1.0"
"8","0.769230769230769","In welcher Stadt hört die Ruta 68 auf?","""in welcher Lage h�rte Ruta 68 Chile auf?""","SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?uri . } ","select  ?o    

{

    <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd>  ?o .    

}","1.0","0.0","0.0","1.0","1.0","1.0"
"9","1.0","Wer hat Slack entwickelt?","""wer hat Slack entwickelt?""","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> . }","select  ?s    

{

   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Slack_(software)> .    

}","0.0","1.0","1.0","0.0","0.0","0.0"
