id,question,sparql,answer
0,┬┐Cu├índo tuvo lugar la batalla de Gettysburg?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?date 
WHERE { 
       res:Battle_of_Gettysburg dbo:date ?date .
}","[""1863-07-03""^^xsd:date]"
1,Dame todos los musicales con m├║sica de Elton John.,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        ?uri rdf:type dbo:Musical .
        ?uri dbo:musicBy res:Elton_John .
}","[<http://dbpedia.org/resource/Aida_(musical)>, <http://dbpedia.org/resource/The_Lion_King_(musical)>, <http://dbpedia.org/resource/Billy_Elliot_the_Musical>, <http://dbpedia.org/resource/Lestat_(musical)>]"
2,┬┐C├│mo de alta el faro de Colombo?,SELECT DISTINCT ?num WHERE {  <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?num . } ,"[""29.0""^^xsd:double]"
3,┬┐Qui├®n fu├® la mujer del presidente americano Lincoln?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:Abraham_Lincoln dbo:spouse ?uri.
}",[<http://dbpedia.org/resource/Mary_Todd_Lincoln>]
4,┬┐Qui├®n es el anfitri├│n de los especiales de la BBC Wildlife?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?uri . },[<http://dbpedia.org/resource/David_Attenborough>]
5,┬┐Cuanto costo Pulp Fiction?,SELECT DISTINCT ?n WHERE {  <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?n . } ,"[""8500000.0""^^<http://dbpedia.org/datatype/usDollar>]"
6,┬┐En qu├® ciudad esta la f├íbrica de cerveza Heineken?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . },[<http://dbpedia.org/resource/Amsterdam>]
7,┬┐Cu├índo comenz├│ la operaci├│n Overlord?,SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?d . } ,"[""1944-08-25""^^xsd:date]"
8,┬┐En que ciudad termina la ruta Chilena 68?,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?uri . } ,[<http://dbpedia.org/resource/Valpara%C3%ADso>]
9,┬┐Quien desarroll├│ Slack?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> . },[http://dbpedia.org/resource/Slack_Technologies]
10,┬┐Qui├®n estuvo casado con el presidente Chirac?,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri
WHERE { 
         res:Jacques_Chirac dbo:spouse ?uri .
}",[<http://dbpedia.org/resource/Bernadette_Chirac>]
11,┬┐De qu├® muri├│ Bruce Carver?,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Bruce_Carver dbo:deathCause ?uri .     
}",[<http://dbpedia.org/resource/Cancer>]
12,┬┐Qui├®n pint├│ el Cristo en la tormenta en el lago de Galilea?,"PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Storm_on_the_Sea_of_Galilee dbp:artist ?uri .
}",[<http://dbpedia.org/resource/Rembrandt>]
13,┬┐Por qu├® ciudades pasa el r├¡o Weser?,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city> ?uri . } ,"[<http://dbpedia.org/resource/Bremen>, <http://dbpedia.org/resource/Bremerhaven>, <http://dbpedia.org/resource/Fulda_(river)>, <http://dbpedia.org/resource/Hamelin>, <http://dbpedia.org/resource/Hann._M%C3%BCnden>, <http://dbpedia.org/resource/Kassel>, <http://dbpedia.org/resource/Minden>]"
14,┬┐Cu├íntos asientos tiene el estadio del FC Porto?,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/FC_Porto> <http://dbpedia.org/ontology/ground> ?x . ?x <http://dbpedia.org/ontology/seatingCapacity> ?n . } ,[50035]
15,┬┐Con qui├®n est├í casada la hija de Robert Kennedy?,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?child .  ?child <http://dbpedia.org/ontology/spouse> ?uri . } ,[<http://dbpedia.org/resource/Andrew_Cuomo>]
16,┬┐Qu├® libros de Kerouac han sido publicados por Viking Press?,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> .  ?uri <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> .  ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . } ,"[<http://dbpedia.org/resource/Book_of_Haikus>, <http://dbpedia.org/resource/Orpheus_Emerged>, <http://dbpedia.org/resource/Old_Angel_Midnight>, <http://dbpedia.org/resource/Beat_Generation_(play)>, <http://dbpedia.org/resource/The_Subterraneans>, <http://dbpedia.org/resource/Atop_an_Underwood:_Early_Stories_and_Other_Writings>, <http://dbpedia.org/resource/The_Sea_is_My_Brother>, <http://dbpedia.org/resource/Good_Blonde_&_Others>, <http://dbpedia.org/resource/Scattered_Poems>, <http://dbpedia.org/resource/Tristessa>, <http://dbpedia.org/resource/Book_of_Dreams_(novel)>, <http://dbpedia.org/resource/Book_of_Sketches>, <http://dbpedia.org/resource/Lonesome_Traveler>, <http://dbpedia.org/resource/Door_Wide_Open>, <http://dbpedia.org/resource/On_the_Road>, <http://dbpedia.org/resource/The_Dharma_Bums>, <http://dbpedia.org/resource/Desolation_Angels_(novel)>, <http://dbpedia.org/resource/And_the_Hippos_Were_Boiled_in_Their_Tanks>, <http://dbpedia.org/resource/Visions_of_Gerard>, <http://dbpedia.org/resource/Visions_of_Cody>, <http://dbpedia.org/resource/Big_Sur_(novel)>, <http://dbpedia.org/resource/Doctor_Sax>, <http://dbpedia.org/resource/Maggie_Cassidy>, <http://dbpedia.org/resource/Satori_in_Paris>, <http://dbpedia.org/resource/The_Town_and_the_City>, <http://dbpedia.org/resource/Mexico_City_Blues>, <http://dbpedia.org/resource/Pic_(novel)>, <http://dbpedia.org/resource/Vanity_of_Duluoz>, <http://dbpedia.org/resource/References_in_On_the_Road>]"
17,┬┐C├│mo de alta es Amazon Eve?,SELECT DISTINCT ?height WHERE {  <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height> ?height . } ,"[""2.02""^^xsd:double]"
18,┬┐En qu├® museo est├í expuesto el Grito de Munch?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
       res:The_Scream dbo:museum ?uri .
}",[<http://dbpedia.org/resource/National_Gallery_(Norway)>]
19,┬┐Quen escribi├│ el libro Los pilares de la Tierra?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Pillars_of_the_Earth dbo:author ?uri .
}",[<http://dbpedia.org/resource/Ken_Follett>]
