id,score,qald uestions,quegg questions,qald sparql,quegg sparql,qald answer,quegg answer
0,0.931818181818182,¿Cuándo tuvo lugar la batalla de Gettysburg?,"""¿Cuándo se tuvo lugar Batalla de Gettysburg?""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?date 
WHERE { 
       res:Battle_of_Gettysburg dbo:date ?date .
}","select  ?o    
{
    <http://dbpedia.org/resource/Battle_of_Gettysburg> <http://dbpedia.org/property/date>  ?o .    
}","[[(""1863-07-03""^^xsd:date )]]","[(""1863-07-03""^^xsd:date )]"
1,0.80952380952381,Dame todos los musicales con música de Elton John.,"""Dame todos musicales de Elton John""","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        ?uri rdf:type dbo:Musical .
        ?uri dbo:musicBy res:Elton_John .
}","select  ?s    
{
   ?s <http://dbpedia.org/ontology/musicBy>  <http://dbpedia.org/resource/Elton_John> .    
}","[[(http://dbpedia.org/resource/Aida_(musical) ), (http://dbpedia.org/resource/The_Lion_King_(musical) ), (http://dbpedia.org/resource/Billy_Elliot_the_Musical ), (http://dbpedia.org/resource/Lestat_(musical) )]]","[(http://dbpedia.org/resource/Aida_(musical) ), (http://dbpedia.org/resource/The_Lion_King_(musical) ), (http://dbpedia.org/resource/Billy_Elliot_the_Musical ), (http://dbpedia.org/resource/Lestat_(musical) )]"
2,0.914285714285714,¿Cómo de alta el faro de Colombo?,"""¿Cómo de m�s alta es Faro de Colombo?""",SELECT DISTINCT ?num WHERE {  <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?num . } ,"select  ?o    
{
    <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height>  ?o .    
}","[[(""29.0""^^xsd:double )]]","[(""29.0""^^xsd:double )]"
3,0,¿Quién fué la mujer del presidente americano Lincoln?,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:Abraham_Lincoln dbo:spouse ?uri.
}",,[[(http://dbpedia.org/resource/Mary_Todd_Lincoln )]],[]
4,0,¿Quién es el anfitrión de los especiales de la BBC Wildlife?,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?uri . },,[[(http://dbpedia.org/resource/David_Attenborough )]],[]
5,0.962962962962963,¿Cuanto costo Pulp Fiction?,"""¿Cuanto cost� Pulp Fiction?""",SELECT DISTINCT ?n WHERE {  <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?n . } ,"select  ?o    
{
    <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget>  ?o .    
}","[[(""8500000.0""^^http://dbpedia.org/datatype/usDollar )]]","[(""8500000.0""^^http://dbpedia.org/datatype/usDollar )]"
6,0,¿En qué ciudad esta la fábrica de cerveza Heineken?,,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . },,[[(http://dbpedia.org/resource/Amsterdam )]],[]
7,0,¿Cuándo comenzó la operación Overlord?,,SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?d . } ,,"[[(""1944-08-25""^^xsd:date )]]",[]
8,0,¿En que ciudad termina la ruta Chilena 68?,,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?uri . } ,,[[(http://dbpedia.org/resource/Valpara%C3%ADso )]],[]
9,0.851063829787234,¿Quien desarrolló Slack?,"""¿Qué desarrollar Slack?""",SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> . },"select  ?s    
{
   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Slack_(software)> .    
}",[[(http://dbpedia.org/resource/Slack_Technologies)]],[]
10,0,¿Quién estuvo casado con el presidente Chirac?,,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri
WHERE { 
         res:Jacques_Chirac dbo:spouse ?uri .
}",,[[(http://dbpedia.org/resource/Bernadette_Chirac )]],[]
11,0.740740740740741,¿De qué murió Bruce Carver?,"""¿De qué muri� Richard Gere?""","PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Bruce_Carver dbo:deathCause ?uri .     
}","select  ?o    
{
    <http://dbpedia.org/resource/Richard_Gere> <http://dbpedia.org/ontology/deathCause>  ?o .    
}",[[(http://dbpedia.org/resource/Cancer )]],[]
