id	Qald question	QueGG question	lexical entry	sparql	answer								
4	Name the municipality of Roberto Clemente Bridge ?	the municipality of Roberto Clemente Bridge ?	municipality of 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Roberto_Clemente_Bridge> <http://dbpedia.org/ontology/municipality> ?uri } 	[]								
94	Which american football team  has stadium as O.co Coliseum?	What is the  american football team  has stadium as O.co Coliseum?	has	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/locationCity> <http://dbpedia.org/resource/O.co_Coliseum>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/AmericanFootballTeam>}	[]								
116	Where was Live in Detroit, MI recorded ?	Where was Live in Detroit, MI recorded ?	recorded 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Live_in_Detroit,_MI> <http://dbpedia.org/ontology/recordedIn> ?uri } 	[]								
117	who all have been a manager of english under twenty one football team?	What are the manager clubs of english under twenty one football team?	manager clubs of 	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/managerclubs> <http://dbpedia.org/resource/England_national_under-21_football_team> } 	[]								
125	Count all the different purposes followed by the different NGOs.	Count all the different purposes followed by the different NGOs.	followed by	SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/type> <http://dbpedia.org/resource/Non-governmental_organization> . ?x <http://dbpedia.org/property/purpose> ?uri  . }	[]								
133	In which time zone is Pong Pha?	What is the time zone is Pong Pha?	time zone of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pong_Pha> <http://dbpedia.org/ontology/timeZone> ?uri } 	[]								
154	Raymond Johansen is the mayor of what city?	Raymond Johansen is the mayor of what city?	mayor of	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/leaderName> <http://dbpedia.org/resource/Raymond_Johansen>  . }	[]								
190	Which researchers received fellowship from Royal Society?	Which researchers received fellowship from Royal Society?	receive	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Royal_Society>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Scientist>}	[]								
197	To whom was Tessa Dahl born to?	To whom was Tessa Dahl born to?	born to	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tessa_Dahl> <http://dbpedia.org/ontology/parent> ?uri } 	[]								
206	God Defend New Zealand is the national anthem of which country?	God Defend New Zealand is the national anthem of which country?	anthem of 	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/nationalAnthem> <http://dbpedia.org/resource/God_Defend_New_Zealand> } 	[]								
260	Give me a count of royalties buried in Rome ?	Count of royalties buried in Rome ?	buried	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/placeOfBurial> <http://dbpedia.org/resource/Rome>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>}	[]								
284	Greater Napanee is the home town of what people?	Greater Napanee is the home town of what people?	home town of	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Greater_Napanee>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>}	[]								
285	In which state is the Channel district?	what is the state of the Channel district?	state of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Channel_District> <http://dbpedia.org/ontology/state> ?uri } 	[]								
301	What is Jon Speelman famous for?	What is Jon Speelman famous for?	famous for	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jon_Speelman> <http://dbpedia.org/ontology/field> ?uri } 	[]								
341	What is the magazine which have been  founded by Ralph J. Gleason?	Which magazine was founded by Ralph J. Gleason?	founded by	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/founder> <http://dbpedia.org/resource/Ralph_J._Gleason>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Magazine>}	[]								
379	Whos a famous relative of anne spielberg?	Who is the relative of anne spielberg?	relative of	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/relation> <http://dbpedia.org/resource/Anne_Spielberg>  . }	[]								
384	List the director of The Adventures of mimi ?	List the director of The Adventures of mimi ?	director of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Adventures_of_Mimi_(video)> <http://dbpedia.org/property/director> ?uri } 	[]								
385	Count the units garrisoned at Arlington County, Virginia.	Count the units garrisoned at Arlington County, Virginia.	units garrisoned at	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/garrison> <http://dbpedia.org/resource/Arlington_County,_Virginia>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryUnit>}	[]								
395	How many golf players are there in Arizona State Sun Devils ?	How many golf players are there in Arizona State Sun Devils ?	there in	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/college> <http://dbpedia.org/resource/Arizona_State_Sun_Devils>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/GolfPlayer>}	[]								
412	List the newspapers whose offices are situated in 1211 Avenue of the Americas?	List the newspapers of 1211 Avenue of the Americas?	newspapers of 	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/headquarter> <http://dbpedia.org/resource/1211_Avenue_of_the_Americas>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Newspaper>}	[]								
419	List the ingredient of Blodpalt ?	List the ingredient of Blodpalt ?	ingredient of 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Blodpalt> <http://dbpedia.org/ontology/ingredient> ?uri } 	[]								
455	List the battles fought by  Ali Habib Mahmud ?	List the battles fought by  Ali Habib Mahmud ?	fought by	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ali_Habib_Mahmud> <http://dbpedia.org/property/battles> ?uri } 	[]								
504	What honours did Reigh Count receive?	What honours did Reigh Count receive?	receive	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Reigh_Count> <http://dbpedia.org/ontology/honours> ?uri } 	[]								
523	What is the company to which Fusajiro Yamauchi proprietor to ?	What is the company to which Fusajiro Yamauchi proprietor to ?	proprietor to	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/foundedBy> <http://dbpedia.org/resource/Fusajiro_Yamauchi>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company>}	[]								
525	Name the debut team of Dan Otero ?	What is the name of debut team of Dan Otero ?	debut team of 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dan_Otero> <http://dbpedia.org/ontology/debutTeam> ?uri } 	[]								
559	Who is the owner of Saumarez ?	Who is the owner of Saumarez ?	owner of 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Saumarez_(horse)> <http://dbpedia.org/ontology/owner> ?uri } 	[]								
562	What automobile engine's successor is BMW M40	What automobile engine's successor is BMW M40	successor of 	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/successor> <http://dbpedia.org/resource/BMW_M40>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/AutomobileEngine>}	[]								
606	What is the commander of Battle of Brownstown ?	What is the commander of Battle of Brownstown ?	commander of Battle of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Battle_of_Brownstown> <http://dbpedia.org/ontology/commander> ?uri } 	[]								
